cost_scenario,split,decline_pct_target_from_validation,manual_review_pct_target_from_validation,total_intervention_pct_target,pd_manual_cutoff_from_validation,pd_decline_cutoff_from_validation,score_manual_cutoff_from_validation,score_decline_cutoff_from_validation,rows,bad_count,good_count,direct_decline_rows,manual_review_rows,auto_approve_rows,actual_direct_decline_pct,actual_manual_review_pct,bad_direct_decline,good_direct_decline,bad_manual_review,good_manual_review,bad_auto_approve,good_auto_approve,direct_decline_bad_rate,manual_review_bad_rate,auto_approve_bad_rate,expected_bad_saved,expected_good_lost,expected_bad_saved_capture,expected_good_lost_capture,expected_final_reject_pct,expected_final_approve_bad_rate,manual_review_cost_total,incremental_value_vs_approve_all_units,incremental_value_per_10000_applications,bad_loss_cost,false_decline_good_cost,manual_review_cost,manual_bad_catch_rate,manual_good_false_decline_rate,max_direct_decline_pct,max_manual_review_pct,max_total_intervention_pct
high_bad_loss_strong_manual,validation,0.2,0.1,0.30000000000000004,0.07979358776350075,0.11686200308818163,560.2842346923295,529.7952434587617,61502,4965,56537,12301,6150,43051,0.20000975578029984,0.09999674807323339,2867,9434,625,5525,1473,41578,0.23307048207462808,0.1016260162601626,0.034215233095630765,3304.5,9876.0,0.665558912386707,0.17468206661124575,0.21431010373646386,0.03436358556750101,615.0,15945.0,2592.5986146791975,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
high_bad_loss_strong_manual,validation,0.2,0.15,0.35,0.06785789299068717,0.11686200308818163,572.9016639457398,529.7952434587617,61502,4965,56537,12301,9225,39976,0.20000975578029984,0.14999512210985008,2867,9434,827,8398,1271,38705,0.23307048207462808,0.08964769647696477,0.03179407644586752,3445.9,10105.84,0.6940382678751259,0.17874736897960627,0.22034633020064387,0.03168074583954289,922.5,16538.86,2689.158076160125,8.0,1.0,0.1,0.7,0.08,0.2,0.15,0.35
low_bad_loss_low_manual_value,development,0.0,0.0,0.0,inf,inf,,,184507,14895,169612,0,0,184507,0.0,0.0,0,0,0,0,14895,169612,0.0,0.0,0.0807286444416743,0.0,0.0,0.0,0.0,0.0,0.0807286444416743,0.0,0.0,0.0,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,development,0.0,0.03,0.03,0.3446418113652874,inf,430.2628900269997,,184507,14895,169612,0,6622,177885,0.0,0.035890237226771884,0,0,4994,1628,9901,167984,0.0,0.7541528239202658,0.055659555330691175,1747.8999999999999,65.12,0.11734810339039946,0.0003839350989316794,0.009826293853349738,0.07196241496298893,662.2,4516.38,244.78095682006645,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,development,0.0,0.05,0.05,0.2762157442718041,inf,453.39180376043964,,184507,14895,169612,0,10410,174097,0.0,0.0564206236077764,0,0,6782,3628,8113,165984,0.0,0.6514889529298751,0.04660045836516425,2373.7,145.12,0.1593622020812353,0.0008555998396339882,0.013651622973654114,0.06880282005128026,1041.0,5934.98,321.66692862601417,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,development,0.0,0.07,0.07,0.23432114709867607,inf,469.3162078296537,,184507,14895,169612,0,13931,170576,0.0,0.07550391042074285,0,0,8035,5896,6860,163716,0.0,0.5767712296317565,0.0402166776099803,2812.25,235.84,0.18880496811010405,0.0013904676555904064,0.016520186225996845,0.06658669998623931,1393.1000000000001,6807.8099999999995,368.97299289457845,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,development,0.0,0.1,0.1,0.19159978464952473,inf,487.75228358037833,,184507,14895,169612,0,19093,165414,0.0,0.10348116873614552,0,0,9341,9752,5554,159860,0.0,0.48923689310218405,0.033576359921167497,3269.35,390.08,0.21949311849613964,0.0022998372756644577,0.019833556450432773,0.06428424777839149,1909.3000000000002,7508.669999999999,406.95854357829234,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,development,0.01,0.0,0.01,0.47104785323454834,0.47104785323454834,392.2667743276861,392.2667743276861,184507,14895,169612,2854,0,181653,0.015468247817155988,0.0,2545,309,0,0,12350,169303,0.8917309039943938,0.0,0.06798676597689,2545.0,309.0,0.17086270560590802,0.0018218050609626678,0.015468247817155988,0.06798676597689,0.0,7326.0,397.0581061965129,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,development,0.01,0.03,0.04,0.30531170684583064,0.47104785323454834,443.20773906287764,392.2667743276861,184507,14895,169612,2854,5701,175952,0.015468247817155988,0.030898556694325962,2545,309,3435,2266,8915,167037,0.8917309039943938,0.6025258726539203,0.05066722742566154,3747.25,399.64,0.25157771064115475,0.0023562012121783834,0.0224755158340876,0.061808290092526565,570.1,10272.01,556.7273870368062,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,development,0.01,0.05,0.060000000000000005,0.2539950077229779,0.47104785323454834,461.62285245436374,392.2667743276861,184507,14895,169612,2854,9256,172397,0.015468247817155988,0.05016611835865306,2545,309,4875,4381,7475,164922,0.8917309039943938,0.526685393258427,0.04335922318833854,4251.25,484.24,0.28541456864719705,0.0028549866754710752,0.025665638702054662,0.0592071012809538,925.6,11343.91,614.8227438525367,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
low_bad_loss_low_manual_value,development,0.01,0.07,0.08,0.21782097369218856,0.47104785323454834,476.12139403555483,392.2667743276861,184507,14895,169612,2854,12777,168876,0.015468247817155988,0.06924940517161951,2545,309,5994,6783,6356,162520,0.8917309039943938,0.4691242075604602,0.03763708283000545,4642.9,580.3199999999999,0.31170862705605906,0.0034214560290545476,0.028309061444823227,0.05718364483390522,1277.7,12070.679999999998,654.21257730059,3.0,1.0,0.1,0.35,0.04,0.1,0.1,0.2
