candidate_feature,importance_gain,importance_split,original_feature,encoding,feature_group,auc_power,ks,iv,development_missing_rate,psi_development_validation,importance_gain_pct
catoh__OCCUPATION_TYPE__01_MISSING,35.16643953323364,4,OCCUPATION_TYPE,category_one_hot_train_top_level,current_application,0.5333056818097885,0.0670906325490454,0.0,0.0,0.0,6.128841939323622e-05
FLAG_DOCUMENT_6,31.404720306396484,3,FLAG_DOCUMENT_6,numeric_original,current_application,0.5147192424734939,0.0300175021026406,0.0,0.0,0.0,5.473245783801202e-05
installment_recent_6m_shortfall_count,30.11475944519043,4,installment_recent_6m_shortfall_count,numeric_original,internal_repayment_history,0.5267747225017338,0.0540005019215825,0.0,0.0,0.0,5.2484301262827816e-05
credit_card_def_dpd_max,25.069849491119385,4,credit_card_def_dpd_max,numeric_original,internal_credit_card_history,0.5105633074354856,0.0246886255338942,0.0029988548443918,0.7177397063526045,4.476788793205299e-05,4.369198218901264e-05
credit_card_recent_12m_dpd_max,21.75119972229004,2,credit_card_recent_12m_dpd_max,numeric_original,internal_credit_card_history,0.5123783700254121,0.034993959105075,0.0011105114910177,0.7177397063526045,2.6406801130569633e-05,3.7908206476971524e-05
bureau_balance_recent_12m_status_max,20.886029720306396,2,bureau_balance_recent_12m_status_max,numeric_original,external_credit_monthly_status,0.5421060644564452,0.0851459363737527,0.0008967109995183,0.71644978239308,0.0002103441568735,3.640037962182715e-05
AMT_REQ_CREDIT_BUREAU_WEEK,20.797200202941895,2,AMT_REQ_CREDIT_BUREAU_WEEK,numeric_original,current_application,0.5009382191230674,0.0075001605228863,0.0120973452237332,0.1346669774046513,3.909561276538911e-05,3.624556665847357e-05
credit_card_recent_12m_active_month_ratio,17.27437973022461,2,credit_card_recent_12m_active_month_ratio,numeric_original,internal_credit_card_history,0.5130807980087922,0.0335493530243292,0.0024914743348111,0.7177397063526045,2.8328333891512133e-05,3.010596021992769e-05
pos_recent_24m_dpd_month_count,17.19617986679077,2,pos_recent_24m_dpd_month_count,numeric_original,internal_pos_cash_history,0.524030885506535,0.0489149474554158,0.0,0.0,0.0,2.9969672722807104e-05
credit_card_recent_6m_active_month_count,17.132780075073242,2,credit_card_recent_6m_active_month_count,numeric_original,internal_credit_card_history,0.5107626084206469,0.0252844556773168,0.0028092392375741,0.0,1.3654444565692703e-05,2.98591789373741e-05
pos_recent_12m_dpd_month_count,17.018600463867188,1,pos_recent_12m_dpd_month_count,numeric_original,internal_pos_cash_history,0.5141739830314849,0.0290338859766876,0.0,0.0,0.0,2.9660185579199754e-05
credit_card_recent_12m_def_dpd_month_ratio,16.93890953063965,2,credit_card_recent_12m_def_dpd_month_ratio,numeric_original,internal_credit_card_history,0.5075958434792511,0.0264313955170203,0.0011105114910177,0.7177397063526045,2.6406801130569633e-05,2.952129943086301e-05
bureau_recent_6m_overdue_loan_ratio,16.7363600730896,2,bureau_recent_6m_overdue_loan_ratio,numeric_original,external_credit_history,0.5057469993221295,0.0179158425288353,0.0288345631764755,0.7280265789373845,1.106002382282924e-05,2.9168294228545945e-05
bureau_balance_recent_6m_status_max,15.864800453186035,1,bureau_balance_recent_6m_status_max,numeric_original,external_credit_monthly_status,0.535656212015656,0.0744979981104233,0.0010361188906857,0.7201786382088484,0.0001189647744563,2.7649331483955938e-05
bureau_max_days_overdue,14.597860336303711,3,bureau_max_days_overdue,numeric_original,external_credit_history,0.5086064206746785,0.0178808199442346,0.0108715054966376,0.1429430861701724,3.4987664289120174e-05,2.5441295690164003e-05
DAYS_EMPLOYED_SENTINEL_365243,13.187899589538574,1,DAYS_EMPLOYED_SENTINEL_365243,numeric_original,current_application,0.5330974162564913,0.0671438468290682,0.0,0.0,0.0,2.2984002124971615e-05
catfreq__EMERGENCYSTATE_MODE,12.775300025939941,1,EMERGENCYSTATE_MODE,category_frequency_train,current_application,0.5392909037174805,0.0783409389866509,0.0244438983876019,0.0,3.145920220815879e-06,2.2264919515786757e-05
previous_revolving_approved_count,10.940400123596191,1,previous_revolving_approved_count,numeric_original,internal_previous_application,0.5123318569229471,0.0245681498828631,0.0010060165749777,0.0,2.5486025770968966e-05,1.906703777819502e-05
bureau_recent_12m_max_days_overdue,9.746999740600586,1,bureau_recent_12m_max_days_overdue,numeric_original,external_credit_history,0.5072933946511063,0.0155455298442733,0.0203926127090054,0.5061921769905748,1.3786803070025416e-05,1.698716776155709e-05
credit_card_recent_24m_def_dpd_month_ratio,9.39745044708252,1,credit_card_recent_24m_def_dpd_month_ratio,numeric_original,internal_credit_card_history,0.5075705276313515,0.0249214238504146,0.0011105114910177,0.7177397063526045,2.6406801130569633e-05,1.6377969788031827e-05
credit_card_recent_24m_dpd_month_ratio,8.748680114746094,1,credit_card_recent_24m_dpd_month_ratio,numeric_original,internal_credit_card_history,0.5116081437948531,0.0366960991260357,0.0011105114910177,0.7177397063526045,2.6406801130569633e-05,1.5247286422132717e-05
bureau_balance_recent_24m_status_max,8.089900016784668,1,bureau_balance_recent_24m_status_max,numeric_original,external_credit_monthly_status,0.5460257436708611,0.0931664302676886,0.0010322716981365,0.7120813844461186,0.0001935009992265,1.4099157937484148e-05
pos_recent_12m_def_dpd_month_count,7.089250087738037,1,pos_recent_12m_def_dpd_month_count,numeric_original,internal_pos_cash_history,0.5116686122243483,0.0239950788062087,0.0,0.0,0.0,1.235521532255822e-05
pos_recent_24m_def_dpd_month_count,4.594709873199463,1,pos_recent_24m_def_dpd_month_count,numeric_original,internal_pos_cash_history,0.5199740347689429,0.0412108537165848,0.0,0.0,0.0,8.007705910425383e-06
bureau_balance_recent_6m_bad_month_count,3.5862300395965576,1,bureau_balance_recent_6m_bad_month_count,numeric_original,external_credit_monthly_status,0.5104357971229512,0.0231005450134369,0.0,0.0,0.0,6.2501172602276605e-06
bureau_balance_recent_12m_bad_month_count,0.0,0,bureau_balance_recent_12m_bad_month_count,numeric_original,external_credit_monthly_status,0.5126711638134315,0.027288031763699,0.0,0.0,0.0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0,0,AMT_REQ_CREDIT_BUREAU_DAY,numeric_original,current_application,0.5003835879066123,0.006244493214997,0.0120973452237332,0.1346669774046513,3.909561276538911e-05,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0,AMT_REQ_CREDIT_BUREAU_HOUR,numeric_original,current_application,0.5003861145450612,0.0064190076984584,0.0120973452237332,0.1346669774046513,3.909561276538911e-05,0.0
bureau_recent_6m_max_days_overdue,0.0,0,bureau_recent_6m_max_days_overdue,numeric_original,external_credit_history,0.5055081410744376,0.0174810787271634,0.0288345631764755,0.7280265789373845,1.106002382282924e-05,0.0
catoh__WALLSMATERIAL_MODE__01_MISSING,0.0,0,WALLSMATERIAL_MODE,category_one_hot_train_top_level,current_application,0.536481872015348,0.0733098883974566,0.0,0.0,0.0,0.0
credit_card_recent_6m_def_dpd_month_ratio,0.0,0,credit_card_recent_6m_def_dpd_month_ratio,numeric_original,internal_credit_card_history,0.505896259773948,0.024758456943759,0.0011105114910177,0.7177397063526045,2.6406801130569633e-05,0.0
has_bureau_loan_history,0.0,0,has_bureau_loan_history,numeric_original,history_coverage,0.519019936084282,0.0394913254101415,0.0,0.0,0.0,0.0
previous_revolving_refused_count,0.0,0,previous_revolving_refused_count,numeric_original,internal_previous_application,0.5235134766879068,0.0481765673077736,0.0,0.0,0.0,0.0
credit_card_recent_6m_dpd_month_ratio,0.0,0,credit_card_recent_6m_dpd_month_ratio,numeric_original,internal_credit_card_history,0.5106696430329426,0.0314119830223733,0.0011105114910177,0.7177397063526045,2.6406801130569633e-05,0.0
catoh__EMERGENCYSTATE_MODE__01_No,0.0,0,EMERGENCYSTATE_MODE,category_one_hot_train_top_level,current_application,0.5390290682356462,0.0782448976590031,0.0,0.0,0.0,0.0
catoh__HOUSETYPE_MODE__02_block_of_flats,0.0,0,HOUSETYPE_MODE,category_one_hot_train_top_level,current_application,0.5374029632721284,0.075048985090763,0.0,0.0,0.0,0.0
bureau_sum_credit_prolong,0.0,0,bureau_sum_credit_prolong,numeric_original,external_credit_history,0.5019804541826322,0.0087864949913528,0.0108715054966376,0.1429430861701724,3.4987664289120174e-05,0.0
