split,strategy_action,candidate_feature,reason_label,applicant_count,avg_reason_rank,avg_shap_value,avg_pd,bad_rate,avg_feature_value,action_applicant_count,applicant_share_in_action
final_holdout,manual_review,pos_recent_12m_instalment_future_max,POS/现金贷历史表现风险,5,4.6,0.07556618251949429,0.1397036566645321,0.0,39.0,6146,0.0008135372600065083
final_holdout,manual_review,bureau_sum_credit_limit,外部征信历史风险信号,4,4.25,0.09228188709615319,0.12915047417869266,0.0,1462.5675048828125,6146,0.0006508298080052066
final_holdout,manual_review,previous_cash_count,历史申请与授信表现风险,3,4.333333333333333,0.11420950479981605,0.1688700306964075,0.0,24.333333333333332,6146,0.00048812235600390497
final_holdout,manual_review,installment_recent_24m_late_days_max,近期还款延迟或逾期行为,3,4.333333333333333,0.11127508733691867,0.1316164554107542,0.6666666666666666,62.333333333333336,6146,0.00048812235600390497
final_holdout,manual_review,previous_refused_days_decision_max,历史申请被拒记录较多,3,4.333333333333333,0.09603359340901653,0.12237396404217726,0.0,-118.0,6146,0.00048812235600390497
final_holdout,manual_review,bureau_recent_12m_debt_to_credit_max,征信负债相对授信额度偏高,3,5.0,0.09464408812981111,0.14470468101823972,0.0,1.1453111171722412,6146,0.00048812235600390497
final_holdout,manual_review,installment_shortfall_amount_max,历史分期还款表现风险,3,4.666666666666667,0.0908113927431878,0.16772401512142887,0.0,57654.630208333336,6146,0.00048812235600390497
final_holdout,manual_review,previous_approved_credit_to_application_mean,历史申请与授信表现风险,3,4.333333333333333,0.09057272847005453,0.13035287869348997,0.0,1.2051852544148762,6146,0.00048812235600390497
final_holdout,manual_review,bureau_days_credit_update_max,外部征信历史风险信号,2,4.0,0.12279263602605761,0.12913393308266816,0.0,-0.5,6146,0.0003254149040026033
final_holdout,manual_review,previous_revolving_credit_mean,历史申请与授信表现风险,2,4.0,0.115125999289276,0.16594024421186163,0.0,765000.0,6146,0.0003254149040026033
final_holdout,manual_review,bureau_max_credit,外部征信历史风险信号,2,4.0,0.09778932829421225,0.13891414763750876,0.0,14242.5,6146,0.0003254149040026033
